OBJECTID_1,COUNTY,COUNTY_ID,TOWN,TOWN_ID,VILLAGE,VILLAGE_ID,V_ID,TV_ALL,VILLCODE,AREA
6969,花蓮縣,10015,花蓮市,10015010,民心里,025,10015010-025,花蓮市民心里,A1501-025-00,2771569.1787
6970,高雄市,64000,內門區,64000350,光興里,018,64000350-018,內門區光興里,A6435-018-00,5947866.1169
6971,苗栗縣,10005,後龍鎮,10005060,中和里,022,10005060-022,後龍鎮中和里,A0506-022-00,8826218.6692
6972,彰化縣,10007,永靖鄉,10007160,敦厚村,017,10007160-017,彰化縣永靖鄉敦厚村,A0716-017-00,1026801.3564
6973,彰化縣,10007,社頭鄉,10007170,龍井村,018,10007170-018,彰化縣社頭鄉龍井村,A0717-018-00,1252736.2434
6974,彰化縣,10007,二林鎮,10007200,北平里,004,10007200-004,彰化縣二林鎮北平里,A0720-004-00,3172138.1453
6975,彰化縣,10007,永靖鄉,10007160,永東村,001,10007160-001,彰化縣永靖鄉永東村,A0716-001-00,107443.4593
6976,彰化縣,10007,社頭鄉,10007170,湳底村,011,10007170-011,彰化縣社頭鄉湳底村,A0717-011-00,1379672.7299
6977,彰化縣,10007,二林鎮,10007200,西平里,003,10007200-003,彰化縣二林鎮西平里,A0720-003-00,678959.4866
6978,彰化縣,10007,田尾鄉,10007210,北曾村,011,10007210-011,彰化縣田尾鄉北曾村,A0721-011-00,1126562.5867
6979,彰化縣,10007,二林鎮,10007200,原斗里,024,10007200-024,彰化縣二林鎮原斗里,A0720-024-00,2022199.9613
6980,彰化縣,10007,埔心鄉,10007150,二重村,017,10007150-017,彰化縣埔心鄉二重村,A0715-017-00,1566489.9341
6981,彰化縣,10007,員林鎮,10007100,南興里,014,10007100-014,彰化縣員林鎮南興里,A0710-014-00,1108891.8182
6982,彰化縣,10007,溪湖鎮,10007110,大竹里,010,10007110-010,彰化縣溪湖鎮大竹里,A0711-010-00,640096.5304
6983,彰化縣,10007,溪湖鎮,10007110,西溪里,017,10007110-017,彰化縣溪湖鎮西溪里,A0711-017-00,833462.3444
