ivid,blue,green
TAO-100-008,1077,687
TAO-100-044,628,342
TAO-100-035,757,802
TAO-100-010,925,971
TAO-100-039,653,497
TAO-100-023,1029,985
TAO-100-038,1334,470
TAO-100-025,901,348
TAO-100-026,1057,510
TAO-100-024,1016,1236
TAO-100-011,877,786
TAO-100-036,871,857
TAO-100-017,998,298
TAO-100-018,1041,495
TAO-100-021,212,27
TAO-100-020,473,82
TAO-100-019,943,260
TAO-100-022,457,92
TAO-040-018,1117,827
TAO-040-011,340,474
TAO-040-019,1062,636
TAO-040-012,308,33
TAO-040-014,837,498
TAO-040-035,410,276
TAO-040-013,1173,947
TAO-040-034,985,538
TAO-040-015,1131,693
TAO-040-028,1360,735
TAO-040-027,1072,575
TAO-040-029,1155,564
TAO-040-010,1015,665
TAO-040-026,761,462
TAO-040-001,1075,737
TAO-040-002,362,305
TAO-040-009,509,321
TAO-040-003,607,491
TAO-040-004,1346,1064
TAO-040-005,1005,750
TAO-040-030,929,779
TAO-040-006,607,670
TAO-040-021,1010,902
TAO-040-020,1184,1143
TAO-040-022,541,641
TAO-040-024,1082,826
TAO-040-025,875,797
TAO-040-008,546,701
TAO-040-016,1492,1183
TAO-040-031,597,342
TAO-040-017,629,749
TAO-040-033,723,616
TAO-040-032,785,705
TAO-040-007,1058,935
TAO-040-023,939,839
TAO-090-001,1109,860
TAO-090-020,850,617
TAO-090-002,1307,1090
TAO-090-021,527,553
TAO-090-003,1085,652
TAO-090-022,1076,304
TAO-090-006,945,579
TAO-090-023,1000,474
TAO-090-007,910,749
TAO-090-024,653,588
TAO-090-009,825,861
TAO-090-011,555,565
TAO-090-025,1042,765
TAO-090-010,1131,691
TAO-090-026,853,391
TAO-090-013,967,567
TAO-090-027,654,451
TAO-090-028,1372,405
TAO-090-014,1183,623
TAO-090-029,749,320
TAO-090-015,1168,481
TAO-090-017,283,512
TAO-090-018,362,420
TAO-090-019,790,443
TAO-090-030,1339,443
TAO-090-031,1116,509
TAO-090-004,643,752
TAO-090-012,786,824
TAO-090-016,438,458
TAO-090-008,142,276
TAO-110-001,884,826
TAO-110-002,1113,1004
TAO-110-003,426,485
TAO-110-004,952,1042
TAO-110-010,433,679
TAO-110-009,365,443
TAO-110-008,352,504
TAO-110-006,668,749
TAO-110-007,518,743
TAO-110-005,784,1190
TAO-110-022,273,559
TAO-110-023,334,605
TAO-110-021,306,380
TAO-110-019,184,291
TAO-110-018,189,221
TAO-110-020,237,418
TAO-110-017,277,348
TAO-110-016,608,815
TAO-110-015,174,362
TAO-110-011,137,262
TAO-110-013,183,313
TAO-110-012,387,620
TAO-110-014,326,416
TAO-120-001,736,757
TAO-120-002,349,356
TAO-120-003,315,454
TAO-120-004,324,463
TAO-120-006,458,623
TAO-120-005,208,291
TAO-120-007,217,287
TAO-120-008,141,259
TAO-120-009,354,447
TAO-120-010,508,745
TAO-120-011,463,777
TAO-120-012,572,882
TAO-120-013,262,540
TAO-120-014,941,1314
TAO-120-015,572,684
TAO-120-016,393,654
TAO-120-017,575,1023
TAO-120-018,432,807
TAO-120-019,283,322
TAO-120-020,444,696
TAO-120-021,1160,1509
TAO-120-022,601,630
TAO-120-023,418,545
HSQ-010-002,870,717
HSQ-010-003,530,591
HSQ-010-004,610,661
HSQ-010-005,142,160
HSQ-010-006,657,642
HSQ-010-021,2517,2608
HSQ-010-001,1433,1359
HSQ-010-024,607,612
HSQ-010-025,935,985
HSQ-010-007,1282,1158
HSQ-010-008,1443,1331
HSQ-010-026,666,769
HSQ-010-009,929,930
HSQ-010-010,842,837
HSQ-010-011,1158,1192
HSQ-010-022,817,882
HSQ-010-012,787,835
HSQ-010-013,312,374
HSQ-010-014,449,504
HSQ-010-023,254,212
HSQ-010-015,351,481
HSQ-010-016,132,333
HSQ-010-019,352,300
HSQ-010-017,234,421
HSQ-010-020,228,375
HSQ-010-018,268,503
HSQ-020-001,103,79
HSQ-020-002,111,82
HSQ-020-003,137,104
HSQ-020-004,690,370
HSQ-020-006,2595,1323
HSQ-020-005,1061,521
HSQ-020-021,524,418
HSQ-020-007,1326,798
HSQ-020-020,568,371
HSQ-020-022,320,217
HSQ-020-008,280,152
HSQ-020-009,922,418
HSQ-020-012,1362,546
HSQ-020-013,1074,523
HSQ-020-010,513,342
HSQ-020-024,527,289
HSQ-020-011,548,257
HSQ-020-023,2158,1081
HSQ-020-014,2062,1002
HSQ-020-025,187,104
HSQ-020-015,1590,1067
HSQ-020-019,2343,1651
HSQ-020-016,1166,852
HSQ-020-017,564,464
HSQ-020-018,188,202
HSQ-030-008,192,249
HSQ-030-009,138,172
HSQ-030-010,232,198
HSQ-030-007,598,518
HSQ-030-006,356,329
HSQ-030-004,319,379
HSQ-030-005,591,860
HSQ-030-016,258,465
HSQ-030-017,87,180
HSQ-030-018,128,298
HSQ-030-019,105,235
HSQ-030-015,195,360
HSQ-030-001,183,394
HSQ-030-002,146,225
HSQ-030-003,826,767
HSQ-030-011,364,449
HSQ-030-012,492,495
HSQ-030-013,163,348
HSQ-030-014,110,184
HSQ-040-001,163,117
HSQ-040-002,455,346
HSQ-040-003,186,196
HSQ-040-004,852,934
HSQ-040-006,139,226
HSQ-040-005,258,325
HSQ-040-007,264,257
HSQ-040-008,833,690
HSQ-040-019,152,253
HSQ-040-009,221,331
HSQ-040-020,227,232
HSQ-040-010,104,193
HSQ-040-013,95,136
HSQ-040-011,139,113
HSQ-040-012,215,244
HSQ-040-014,145,303
HSQ-040-015,423,424
HSQ-040-021,179,308
HSQ-040-016,316,144
HSQ-040-017,186,104
HSQ-040-018,233,227
HSQ-050-007,623,772
HSQ-050-019,898,682
HSQ-050-006,1019,971
HSQ-050-003,1061,819
HSQ-050-002,288,176
HSQ-050-001,396,276
HSQ-050-005,630,531
HSQ-050-018,637,487
HSQ-050-004,1142,863
HSQ-050-017,626,553
HSQ-050-013,406,364
HSQ-050-008,665,579
HSQ-050-009,238,268
HSQ-050-010,700,627
HSQ-050-011,768,402
HSQ-050-012,459,232
