ivid,household,male,female
TPQ-040-007,1185,1522,1569
TPQ-040-008,1256,1507,1753
TPQ-040-009,428,542,548
TPQ-040-010,330,451,427
TPQ-040-011,1997,2484,2867
TPQ-040-012,1510,1995,2090
TPQ-040-013,2969,3763,4093
TPQ-040-014,2079,2701,2771
TPQ-040-015,1827,2081,2492
TPQ-040-016,1917,2459,2767
TPQ-040-017,1772,2366,2563
TPQ-040-018,1286,1489,1723
TPQ-040-019,521,609,665
TPQ-040-020,1611,2133,2200
TPQ-040-021,1199,1583,1621
TPQ-040-022,929,986,1151
TPQ-040-023,1563,1925,2060
TPQ-040-024,1705,1913,2245
TPQ-040-025,1739,1985,2249
TPQ-040-026,1679,2098,2299
TPQ-040-027,1299,1540,1628
TPQ-040-028,1434,1562,1673
TPQ-040-029,1057,1299,1362
TPQ-040-030,1948,2389,2671
TPQ-040-031,2043,2510,2785
TPQ-040-032,1209,1290,1556
TPQ-040-033,1944,2417,2685
TPQ-040-034,1606,2038,2311
TPQ-040-035,1944,2501,2636
TPQ-040-036,773,861,1007
TPQ-040-037,977,1240,1316
TPQ-040-038,2354,2707,3032
TPQ-040-039,1868,2239,2493
TPQ-040-040,1443,1870,1975
TPQ-040-041,384,506,466
TPQ-040-042,444,554,526
TPQ-040-043,957,1023,1159
TPQ-040-044,2069,2471,2744
TPQ-040-045,989,1205,1234
TPQ-040-046,1549,2093,2173
TPQ-040-047,2031,2566,2812
TPQ-040-048,1379,1736,1806
TPQ-040-049,1579,2168,2336
TPQ-040-050,1103,1425,1537
TPQ-040-051,1527,1805,1962
TPQ-040-052,511,651,652
TPQ-040-053,968,1095,1266
TPQ-040-054,1341,1688,1837
TPQ-040-055,1477,1918,2138
TPQ-040-056,1891,1993,2393
TPQ-040-057,1189,1254,1530
TPQ-040-058,778,913,970
TPQ-040-059,1167,1663,1729
TPQ-040-060,1263,1645,1748
TPQ-040-061,1168,1288,1492
TPQ-040-062,4269,5138,5658
TPQ-050-001,2059,2883,3000
TPQ-050-002,1746,2470,2449
TPQ-050-003,557,862,830
TPQ-050-004,1783,2386,2539
TPQ-050-005,1238,1639,1564
TPQ-050-006,1345,1971,2081
TPQ-050-007,1804,2485,2569
TPQ-050-008,1629,2355,2486
TPQ-050-009,2509,3712,3874
TPQ-050-010,822,1159,1196
TPQ-050-011,2167,3158,3313
TPQ-050-012,1181,1633,1693
TPQ-050-013,1431,1956,1980
TPQ-050-014,1678,2464,2492
TPQ-050-015,3817,5403,5376
TPQ-050-016,2661,2960,2188
TPQ-050-017,1778,2442,2464
TPQ-050-018,2150,3306,3160
TPQ-050-019,712,972,978
TPQ-050-020,855,1163,1179
TPQ-050-021,2572,3810,3757
TPQ-050-022,684,985,1039
TPQ-050-023,2183,3425,3562
TPQ-050-024,879,1304,1268
TPQ-050-025,2084,2823,2957
TPQ-050-026,826,1216,1225
TPQ-050-027,1921,2782,2889
TPQ-050-028,1027,1446,1497
TPQ-050-029,987,1392,1456
TPQ-050-030,2013,2823,3058
TPQ-050-031,1863,2697,2885
TPQ-050-032,2041,3061,3223
TPQ-050-033,1713,2529,2626
TPQ-050-034,1407,1924,2039
TPQ-050-035,1141,1634,1656
TPQ-050-036,1167,1758,1628
TPQ-050-037,1496,2079,2155
TPQ-050-038,2571,3749,3795
TPQ-050-039,1529,2212,2289
TPQ-050-040,875,1253,1176
TPQ-050-041,1506,2363,2464
TPQ-050-042,1112,1480,1417
TPQ-050-043,2945,4065,4197
TPQ-050-044,1487,2379,2480
TPQ-050-045,2124,2782,3005
TPQ-050-046,1613,2435,2408
TPQ-050-047,1617,2355,2451
TPQ-050-048,3974,5297,5382
TPQ-050-049,958,1326,1384
TPQ-050-050,2989,3955,4329
TPQ-050-051,1030,1396,1420
TPQ-050-052,1685,2325,2461
TPQ-050-053,3393,4914,5134
TPQ-050-054,3104,4558,4817
TPQ-050-055,1800,2526,2606
TPQ-050-056,874,1341,1347
TPQ-050-057,1334,2009,1998
TPQ-050-058,1274,1985,1951
TPQ-050-059,1727,2463,2600
TPQ-050-060,1940,2746,2818
TPQ-050-061,1386,1982,1963
TPQ-050-062,2277,3237,3445
TPQ-050-063,1268,1879,1969
TPQ-050-064,1819,2174,2361
TPQ-050-065,1412,1771,2013
TPQ-050-066,1449,1965,2093
TPQ-050-067,830,1290,1270
TPQ-050-068,912,1282,1223
TPQ-050-069,1079,1626,1622
TPQ-050-070,2351,3301,3483
TPQ-050-071,1765,2622,2787
TPQ-050-072,2035,3026,2955
TPQ-050-073,1353,1866,1982
TPQ-050-074,1678,2237,2441
TPQ-050-075,3417,4378,5103
TPQ-050-076,4486,5404,5956
TPQ-050-077,994,1330,1340
TPQ-050-078,1452,1969,2042
